training_days,method,folds,pooled_annualized_volatility,median_fold_annualized_volatility,median_realized_to_predicted_ratio,mean_qlike,median_gross_exposure,median_max_abs_weight,mean_recurring_turnover,eigen_floor_activation_fraction,median_chosen_alpha
252,equal_weight,23,0.18739459751595824,0.14535412549130236,0.945246390449282,-7.796036554430256,1.0000000000000002,0.006666666666666667,0.13052823741508918,0.0,
252,ledoit_wolf,23,0.1394092851724528,0.11536289930898806,0.9434062971882468,-7.978745881431338,1.0,0.1362659038649867,0.9247871024057731,0.0,
252,nonlinear_shrinkage_qis,23,0.14108282264016217,0.11546203721676902,0.968640052094401,-7.9281312381393665,1.0,0.10123383575177103,0.8646887795155936,0.0,
252,oas_shrinkage,23,0.13943756698692783,0.11545532589744,0.9423751111232944,-7.996035045497422,1.0,0.1441616521326807,0.9435784142803012,0.0,
252,pca_matched,23,0.14947385500648921,0.11881183994941172,1.6802839755219272,-6.981221029298004,1.0,0.1335155696829928,0.8597071567384486,0.0,
252,pca_plus_two,23,0.14438227186095487,0.11494819844181088,1.4856694858194501,-7.686384243046653,1.0,0.13952093281830646,0.9094041780732641,0.0,
252,poet_soft_c0_5,23,0.14114606069254884,0.11404715697073298,1.1545948418856993,-7.805791464314813,1.0,0.14063353293470746,0.9125722604288047,0.0,
252,residual_aware_qr,23,0.14230151401428945,0.11410043259648055,1.2313691365462702,-7.231385160481059,1.0,0.1255085537709665,0.8603799288916886,0.0,0.5
252,ridge_10pct,23,0.1398566831144227,0.11480311283624088,0.9395793760518555,-7.958469495780704,1.0,0.12201461897464093,0.8922384800677818,0.0,
252,sample_covariance,23,0.13874608963537793,0.1159635409272443,0.9658152148007644,-8.033397590687459,1.0,0.17683827676840674,0.9851048138450779,0.0,
252,structured_q0,23,0.14995313638238367,0.11588861322753487,2.0911701554046576,-5.071084882546662,1.0,0.10378148699398905,0.6474796622175476,0.0,
504,equal_weight,21,0.1846407800902932,0.14161498704316197,0.9064874809117915,-7.7015594339581,1.0000000000000002,0.006666666666666667,0.13213661711898536,0.0,
504,ledoit_wolf,21,0.14468853841990864,0.11889748153241507,1.0692387566605497,-7.908720610771031,1.0,0.1493503243087443,0.6308153610674869,0.0,
504,nonlinear_shrinkage_qis,21,0.14534993320168635,0.11856720551108935,1.072780446529964,-7.88658658337762,1.0,0.1289531931325042,0.6054547736898767,0.0,
504,oas_shrinkage,21,0.14505667686733517,0.11894232593181753,1.0579983734798497,-7.91393191493005,1.0,0.15914746031446209,0.6418081957309792,0.0,
504,pca_matched,21,0.15424208440499887,0.11867148531519534,1.6112760025980788,-6.526830721947479,1.0,0.14123800895148114,0.589785680331264,0.0,
504,pca_plus_two,21,0.15016055195373326,0.11782559527551022,1.2625743736097004,-7.642722427436747,1.0,0.15127997962522644,0.633418169171651,0.0,
504,poet_soft_c0_5,21,0.1453952889590421,0.11615283393589658,1.2044961770118767,-7.75955453613143,1.0,0.17036483359666643,0.6337250156490073,0.0,
504,residual_aware_qr,21,0.1453547377585496,0.11331062740529343,1.4525205043317195,-7.5100502223613415,1.0,0.13672951779868533,0.6494386181580707,0.0,0.5
504,ridge_10pct,21,0.145046825923535,0.11845214633426146,1.118433537889949,-7.855436943237213,1.0,0.11947224431175958,0.5906299031200694,0.0,
504,sample_covariance,21,0.14472412280395425,0.11901922769656152,1.0468985808369922,-7.940747993483334,1.0,0.18056291407178487,0.6574741179688284,0.0,
504,structured_q0,21,0.15400192139887964,0.12082341197259808,2.529014586533578,-4.848020533103786,1.0,0.09954357040517135,0.43853109359491277,0.0,
