fold_id,training_days,training_start,training_end,test_start,test_end,panel_a_fold_id,selected_count,selected_drivers,method,chosen_alpha,portfolio_constraint,predicted_variance,realized_variance,realized_annualized_volatility,realized_to_predicted_ratio,qlike,gross_exposure,max_abs_weight,turnover,initial_formation,eigen_floor_activated,net_mean_return_5bps,net_annualized_volatility_5bps,rebalance_cost_5bps,net_mean_return_10bps,net_annualized_volatility_10bps,rebalance_cost_10bps,net_mean_return_20bps,net_annualized_volatility_20bps,rebalance_cost_20bps
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,equal_weight,,long_only,0.0002092288892601327,0.00026057313126998956,0.2562507152771234,1.2453974792459035,-7.226684262084008,1.0000000000000002,0.006666666666666667,1.0000000000000002,True,False,0.0015776398935726554,0.25625071527712345,0.0,0.0015776398935726554,0.25625071527712345,0.0,0.0015776398935726554,0.25625071527712345,0.0
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,sample_covariance,,long_only,5.798433272388862e-05,5.438639225332914e-05,0.11706993998392133,0.9379497822680438,-8.817387927090458,1.0,0.25152511214159656,1.0,True,False,0.0007927388139725069,0.11706993998392135,0.0,0.0007927388139725069,0.11706993998392135,0.0,0.0007927388139725069,0.11706993998392135,0.0
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,ridge_10pct,,long_only,5.807914442609316e-05,5.370597945486396e-05,0.1163353206151327,0.9247033506701509,-8.82900056784178,1.0,0.18391433420569345,1.0,True,False,0.0008434352460419913,0.11633532061513271,0.0,0.0008434352460419913,0.11633532061513271,0.0,0.0008434352460419913,0.11633532061513271,0.0
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,ledoit_wolf,,long_only,5.812308275981703e-05,5.3959606572618586e-05,0.11660969452108123,0.9283679393881559,-8.824579739989948,0.9999999999999998,0.21928086265746957,0.9999999999999998,True,False,0.0008110653200754382,0.11660969452108125,0.0,0.0008110653200754382,0.11660969452108125,0.0,0.0008110653200754382,0.11660969452108125,0.0
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,oas_shrinkage,,long_only,5.7987367778224906e-05,5.415602259089531e-05,0.11682173467683836,0.9339279340634543,-8.821357434002753,1.0,0.235848639135393,1.0,True,False,0.0008007782578284536,0.11682173467683836,0.0,0.0008007782578284536,0.11682173467683836,0.0,0.0008007782578284536,0.11682173467683836,0.0
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,nonlinear_shrinkage_qis,,long_only,5.990369871589103e-05,5.3241414476400196e-05,0.11583106857856769,0.8887834243576768,-8.833988882213053,1.0,0.16147517303388295,1.0,True,False,0.000820378408988619,0.11583106857856769,0.0,0.000820378408988619,0.11583106857856769,0.0,0.000820378408988619,0.11583106857856769,0.0
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,pca_matched,,long_only,4.958091011897881e-05,5.277460891449667e-05,0.11532216372602953,1.0644138800166028,-8.847490794934302,1.0,0.22462321704974952,1.0,True,False,0.0007479237434428839,0.11532216372602953,0.0,0.0007479237434428839,0.11532216372602953,0.0,0.0007479237434428839,0.11532216372602953,0.0
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,pca_plus_two,,long_only,5.213101968763758e-05,5.151442645263868e-05,0.11393698023936279,0.9881722391256981,-8.87357815977341,0.9999999999999998,0.22824752862545475,0.9999999999999998,True,False,0.0007476263753552235,0.1139369802393628,0.0,0.0007476263753552235,0.1139369802393628,0.0,0.0007476263753552235,0.1139369802393628,0.0
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,poet_soft_c0_5,,long_only,5.254858712914339e-05,5.1614103226615106e-05,0.11404715697073298,0.9822167644539767,-8.871555582768694,0.9999999999999999,0.21991555335083093,0.9999999999999999,True,False,0.0007769911741890433,0.11404715697073298,0.0,0.0007769911741890433,0.11404715697073298,0.0,0.0007769911741890433,0.11404715697073298,0.0
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,structured_q0,,long_only,4.578649287304677e-05,5.3294328078576074e-05,0.11588861322753487,1.1639748915984118,-8.827546534177491,1.0,0.19674374861017652,1.0,True,False,0.0007413885366708134,0.11588861322753487,0.0,0.0007413885366708134,0.11588861322753487,0.0,0.0007413885366708134,0.11588861322753487,0.0
