panel,training_days,metric,reference,comparison,folds,mean_difference,standard_error,bootstrap_ci_lower,bootstrap_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper,sign_flip_p_raw,sign_flip_p_familywise,fraction_reference_better
B,252,realized_variance,residual_aware_qr,equal_weight,23,-6.284294064532768e-05,1.3639947234244456e-05,-9.259020551567043e-05,-3.9918028628857314e-05,-9.864532165207814e-05,-2.7040559638577212e-05,4.999750012499375e-05,0.00039998000099995,1.0
B,252,realized_variance,residual_aware_qr,ledoit_wolf,23,-8.8942416462709e-06,2.0035829446580067e-06,-1.285894867132361e-05,-5.276379732305164e-06,-1.4121823137438821e-05,-3.6666601551029776e-06,9.99950002499875e-05,0.0005499725013749313,0.9130434782608695
B,252,realized_variance,residual_aware_qr,nonlinear_shrinkage_qis,23,-2.766367327347525e-06,1.908459195923798e-06,-6.413067267664197e-06,8.793726874993248e-07,-7.76776623543436e-06,2.235031580739311e-06,0.15784210789460526,0.5400729963501825,0.7391304347826086
B,252,realized_variance,residual_aware_qr,oas_shrinkage,23,-1.4336402360597693e-05,2.806433853357047e-06,-1.984555904863494e-05,-9.31849942624584e-06,-2.1574405309441175e-05,-7.098399411754211e-06,4.999750012499375e-05,9.99950002499875e-05,0.9565217391304348
B,252,realized_variance,residual_aware_qr,pca_matched,23,-3.112563443773925e-05,1.1550462337418676e-05,-5.818948842508939e-05,-1.493110278698922e-05,-6.190384873406406e-05,-3.4742014141444513e-07,4.999750012499375e-05,0.04189790510474476,0.9130434782608695
B,252,realized_variance,residual_aware_qr,pca_plus_two,23,-2.504991893834254e-05,1.0704693903216773e-05,-4.9645929363488866e-05,-1.0780269158598843e-05,-5.366469893012445e-05,3.564861053439363e-06,4.999750012499375e-05,0.0919954002299885,0.9565217391304348
B,252,realized_variance,residual_aware_qr,poet_soft_c0_5,23,2.264013883872312e-06,3.752117955129691e-06,-3.4431098763062244e-06,1.0738033951961691e-05,-7.841790696627317e-06,1.2369818464371941e-05,0.7899105044747763,1.0,0.6521739130434783
B,252,realized_variance,residual_aware_qr,ridge_10pct,23,-5.0297804311809105e-06,2.165080937485768e-06,-9.374773239481017e-06,-1.1046233703154944e-06,-1.0738385965028992e-05,6.788251026671705e-07,0.024648767561621918,0.09509524523773812,0.8260869565217391
B,252,realized_variance,residual_aware_qr,sample_covariance,23,-4.544239128740479e-05,6.296909319557017e-06,-5.8500880373556674e-05,-3.449214591499351e-05,-6.158193753148049e-05,-2.9302845043329093e-05,4.999750012499375e-05,4.999750012499375e-05,1.0
B,252,realized_variance,residual_aware_qr,structured_q0,23,-1.396332784302486e-05,2.671028480975203e-06,-1.928069648176794e-05,-8.917829927727654e-06,-2.0929751758421155e-05,-6.996903927628566e-06,4.999750012499375e-05,9.99950002499875e-05,0.8695652173913043
B,252,qlike,residual_aware_qr,equal_weight,23,1.3703745251114157,1.0557506517132744,-0.1481514819406312,3.662028819690108,-1.2356495741215987,3.97639862434443,0.184140792960352,0.7006149692515374,0.5652173913043478
B,252,qlike,residual_aware_qr,ledoit_wolf,23,-0.3854695540099521,0.24932692034238385,-0.8969051113444381,0.05214824560938324,-1.0010353091363369,0.23009620111643259,0.1255437228138593,0.48462576871156443,0.8260869565217391
B,252,qlike,residual_aware_qr,nonlinear_shrinkage_qis,23,0.5217545763085135,0.18129597542058973,0.20134308694376588,0.8860897328156597,0.07644133709189094,0.9670678155251361,0.006749662516874156,0.024948752562371883,0.391304347826087
B,252,qlike,residual_aware_qr,oas_shrinkage,23,-1.0264371534751584,0.3241107007731861,-1.7273784428568855,-0.5071235045528834,-1.8272660171480668,-0.22560828980225012,0.0002999850007499625,0.007499625018749062,0.9130434782608695
B,252,qlike,residual_aware_qr,pca_matched,23,-5.420482667247507,2.5326415476828026,-10.845377976977254,-2.222571512299554,-11.659379833020022,0.8184144985250095,4.999750012499375e-05,0.15344232788360582,1.0
B,252,qlike,residual_aware_qr,pca_plus_two,23,-2.806940258579026,1.3159961819279786,-5.623720973606189,-1.0601196765046348,-6.051136192556866,0.4372556753988137,4.999750012499375e-05,0.15609219539023048,0.9565217391304348
B,252,qlike,residual_aware_qr,poet_soft_c0_5,23,0.06402327782476647,0.13283841949546313,-0.17838444466890502,0.33117952465598427,-0.26517139731645023,0.39321795296598316,0.6455177241137943,1.0,0.6521739130434783
B,252,qlike,residual_aware_qr,ridge_10pct,23,0.05888591333646823,0.1610401814540262,-0.2430916759001655,0.3831596972962199,-0.33679722026542075,0.45456904693835726,0.7227138643067846,1.0,0.6521739130434783
B,252,qlike,residual_aware_qr,sample_covariance,23,-6.285487245988361,0.984655377232819,-8.371602272468236,-4.747634978879108,-8.70896119961091,-3.8620132923658126,4.999750012499375e-05,4.999750012499375e-05,1.0
B,252,qlike,residual_aware_qr,structured_q0,23,-4.378947454267419,1.5550798112705135,-7.739605626858048,-2.26641829378632,-8.209389998150524,-0.5485049103843145,4.999750012499375e-05,0.02974851257437128,0.9565217391304348
B,504,realized_variance,residual_aware_qr,equal_weight,21,-5.7216365580689686e-05,1.4806148794273498e-05,-8.984253868140453e-05,-3.320747075591699e-05,-9.277095005626598e-05,-2.166178110511339e-05,4.999750012499375e-05,0.0007499625018749063,1.0
B,504,realized_variance,residual_aware_qr,ledoit_wolf,21,-2.2962871672975885e-07,2.7504585115373345e-06,-4.991331423460031e-06,5.674149504007836e-06,-6.997103086959334e-06,6.537845653499817e-06,0.9400029998500075,1.0,0.7142857142857143
B,504,realized_variance,residual_aware_qr,nonlinear_shrinkage_qis,21,1.3949308821168007e-06,2.0738240103261242e-06,-2.2631729087043716e-06,5.80399836637102e-06,-3.6769093138217284e-06,6.46677107805533e-06,0.5192240387980601,0.9939003049847508,0.6666666666666666
B,504,realized_variance,residual_aware_qr,oas_shrinkage,21,-2.9699988788271716e-06,3.1379680111474705e-06,-8.651868144126048e-06,3.5800938295972004e-06,-1.0628700781192428e-05,4.688703023538084e-06,0.36113194340282984,0.91970401479926,0.8095238095238095
B,504,realized_variance,residual_aware_qr,pca_matched,21,-3.21198365256118e-05,1.2343032814870364e-05,-5.9602395915829915e-05,-1.4870786792851904e-05,-6.216494456771942e-05,-2.074728483504193e-06,4.999750012499375e-05,0.041947902604869754,0.9523809523809523
