panel,horizon_sessions,folds,mean_delta_s_f,median_relative_reduction,improved_fraction
equities_150,1,21,-0.1228580062958432,0.3814583592578706,1.0
equities_150,5,20,-0.1085609255986548,0.2647006262714997,0.95
