panel,horizon_sessions,fold,train_start,train_end,test_start,test_end,selected_count,selected_drivers,baseline_s_f,baseline_s_inf,baseline_effective_rank,selected_s_f,selected_s_inf,selected_effective_rank,delta_s_f,relative_reduction_s_f
equities_150,1,0,2010-07-06,2012-09-18,2012-09-19,2013-03-25,4,Cboe Volatility Index | DAX INDEX | S&P/BMV IPC | Brazilian Real Spot,0.2879882795907594,0.7630718346110187,37.023098148770615,0.1952729471845441,0.7135017635918923,47.4301138434703,-0.0927153324062153,0.3219413392029938
equities_150,1,1,2011-03-18,2013-03-25,2013-03-26,2013-09-23,5,Cboe Volatility Index | DAX INDEX | S&P/BMV IPC | Brazilian Real Spot | Pan-European High Yield,0.3629418576499948,0.8399743334312394,29.76141066005424,0.1913482682826386,0.7967964715700713,48.36303704663771,-0.1715935893673562,0.4727853394436347
equities_150,1,2,2011-09-20,2013-09-23,2013-09-24,2014-03-25,4,Cboe Volatility Index | DAX INDEX | S&P/BMV IPC | Brazilian Real Spot,0.330715856225764,0.8265546608029362,34.565670527950004,0.1721019744669886,0.7395168474689743,51.56882065406046,-0.1586138817587753,0.4796077320541207
equities_150,1,3,2012-03-21,2014-03-25,2014-03-26,2014-09-25,3,Cboe Volatility Index | DAX INDEX | S&P/BMV IPC,0.2978123780771149,0.8933861350426682,33.54274644945038,0.1814307131423397,0.9003084319173896,47.54981173424993,-0.1163816649347752,0.3907885417195103
equities_150,1,4,2012-09-19,2014-09-25,2014-09-26,2015-03-30,2,Cboe Volatility Index | DAX INDEX,0.3640828151211216,0.890725711380652,28.06679912319201,0.1790151188511055,0.8703736937227722,44.24408414734063,-0.185067696270016,0.5083120888538737
equities_150,1,5,2013-03-26,2015-03-30,2015-03-31,2015-09-29,3,Cboe Volatility Index | Generic 1st 'GX' Future | S&P/BMV IPC,0.4515042316210572,0.919545984614345,22.07058512536132,0.21681562517247,0.8705377196689267,37.81722883639145,-0.2346886064485871,0.5197927062742544
equities_150,1,6,2013-09-24,2015-09-29,2015-09-30,2016-04-04,2,Cboe Volatility Index | S&P/BMV IPC,0.3840768667402856,0.9396679774308,23.284734602339,0.1946720114327401,0.8965142864681002,35.69859846300079,-0.1894048553075455,0.4931430963677952
equities_150,1,7,2014-03-26,2016-04-04,2016-04-05,2016-10-04,3,Cboe Volatility Index | S&P/BMV IPC | CAD-JPY X-RATE,0.36613913876387,0.9340950834247584,24.617905186249427,0.2036791226625784,0.9075731211022852,38.2926125037028,-0.1624600161012915,0.4437111439377287
equities_150,1,8,2014-09-26,2016-10-04,2016-10-05,2017-04-05,2,Cboe Volatility Index | Generic 1st 'Z ' Future,0.2180865089264273,0.8914463509487393,38.05406663352339,0.1931067016422781,0.8994578322904457,42.43883903112594,-0.0249798072841492,0.1145408187196774
equities_150,1,9,2015-03-31,2017-04-05,2017-04-06,2017-10-06,3,Cboe Volatility Index | Generic 1st 'Z ' Future | AUD-JPY X-RATE,0.2088885954673102,0.8800461017482566,40.65388823504963,0.1775074821119894,0.8128213403859765,46.20936297110587,-0.0313811133553208,0.1502289451710722
equities_150,1,10,2015-09-30,2017-10-06,2017-10-09,2018-04-10,3,Cboe Volatility Index | Generic 1st 'Z ' Future | EUR-GBP X-RATE,0.3401898067238346,0.8764675809672567,31.34449402592629,0.2024871038272347,0.8678313038366547,45.13776854557857,-0.1377027028965999,0.4047819781043195
equities_150,1,11,2016-04-05,2018-04-10,2018-04-11,2018-10-08,2,Cboe Volatility Index | AUD-JPY X-RATE,0.2056374642611388,0.909337779969297,45.00096370943702,0.1521814877964908,0.9127213626716651,51.1091488419742,-0.053455976464648,0.2599525171967903
equities_150,1,12,2016-10-05,2018-10-08,2018-10-09,2019-04-10,2,Cboe Volatility Index | AUD-JPY X-RATE,0.3985368663143575,0.909767244260912,23.14897053506103,0.248564073284297,0.9081943067332456,39.66875112002452,-0.1499727930300604,0.3763084565224766
equities_150,1,13,2017-04-06,2019-04-10,2019-04-11,2019-10-10,2,Cboe Volatility Index | AUD-JPY X-RATE,0.3415144582776965,0.9062183287781626,28.5332425295257,0.1847681233697887,0.8262311178882505,45.4308995064121,-0.1567463349079078,0.458974228202228
