design,rep,method,frobenius_relative,realized_variance,calibration
ar1_gaussian,0,sample,0.6489710075052869,1.8780794314997017e-06,0.9628560901597676
ar1_gaussian,0,ledoit_wolf,0.637352631393922,1.8627294642445695e-06,0.907174605966066
ar1_gaussian,0,oas,0.6364192794143655,1.8614306836631712e-06,0.9020740307335152
ar1_gaussian,0,pca4,0.6557134208260409,1.8352066041046338e-06,0.9411448129028114
ar1_gaussian,0,structured_q0,0.648485874294525,1.8115447678757218e-06,0.8641976925668431
ar1_gaussian,0,residual_qr_50,0.648580072330131,1.8028296587846317e-06,0.8720813949135943
ar1_gaussian,1,sample,0.4247941709739157,1.1552070657946978e-06,0.6569276225271053
ar1_gaussian,1,ledoit_wolf,0.42456148102200575,1.136653100253367e-06,0.6114377175241543
ar1_gaussian,1,oas,0.424563073523448,1.135359577583104e-06,0.608084671146064
ar1_gaussian,1,pca4,0.42197560582073645,1.0454834644869348e-06,0.5463103224475451
ar1_gaussian,1,structured_q0,0.4231686718525048,1.037585393277231e-06,0.5046498658960302
ar1_gaussian,1,residual_qr_50,0.42379658244600055,1.0595685289364912e-06,0.5455842654120958
ar1_gaussian,2,sample,0.3180626454076267,2.122940101861676e-06,0.9428044916780529
ar1_gaussian,2,ledoit_wolf,0.3112184515701946,2.089040266379103e-06,0.8743235239366279
ar1_gaussian,2,oas,0.3113002804293129,2.0894812936239184e-06,0.8752624173463346
ar1_gaussian,2,pca4,0.3249540503587552,1.899328480250066e-06,0.8887818508990619
ar1_gaussian,2,structured_q0,0.31709477855989077,1.8994550652913267e-06,0.831230049460932
ar1_gaussian,2,residual_qr_50,0.3172635606468295,1.949557206644141e-06,0.8351517929758729
ar1_gaussian,3,sample,0.6319411475052877,2.2819022958717228e-06,1.4661445241620874
ar1_gaussian,3,ledoit_wolf,0.6326629356516459,2.232772444845847e-06,1.3253450729613123
ar1_gaussian,3,oas,0.6326289285418983,2.235032769477863e-06,1.3320226882495454
ar1_gaussian,3,pca4,0.6297111474234609,1.9525478681153883e-06,1.201905975853188
ar1_gaussian,3,structured_q0,0.6318338011239112,1.9749321308516177e-06,1.1225393156488497
ar1_gaussian,3,residual_qr_50,0.6318630530377617,2.049106527558366e-06,1.1938342031959503
ar1_gaussian,4,sample,0.612092554773546,2.825525046785597e-06,1.6844857003990032
ar1_gaussian,4,ledoit_wolf,0.6144027403492199,2.7506653550670376e-06,1.5315794386901118
ar1_gaussian,4,oas,0.614380357741486,2.7514018504178208e-06,1.53314529520148
ar1_gaussian,4,pca4,0.6086539212284156,2.2828255533814675e-06,1.4188877896664427
ar1_gaussian,4,structured_q0,0.6118805815663746,2.289671933469219e-06,1.33217442780935
ar1_gaussian,4,residual_qr_50,0.6119617913556533,2.4417732947967653e-06,1.389119813076543
ar1_gaussian,5,sample,0.49867723112912116,2.56443787001837e-06,1.294760519803611
ar1_gaussian,5,ledoit_wolf,0.4923194080039821,2.48695053631137e-06,1.1618656134340852
ar1_gaussian,5,oas,0.4919823470790073,2.4827601184853153e-06,1.1543644480957933
ar1_gaussian,5,pca4,0.5009972091314854,2.21760367139244e-06,0.9799482040145244
ar1_gaussian,5,structured_q0,0.49720757310055025,2.1890989090378968e-06,0.9010538975218046
ar1_gaussian,5,residual_qr_50,0.497822998042185,2.2425768635131605e-06,0.9811948520188166
ar1_gaussian,6,sample,0.5533297312779513,2.3226373537672067e-06,1.268592433573173
ar1_gaussian,6,ledoit_wolf,0.5539083114699057,2.2809437401537076e-06,1.1445234887269309
ar1_gaussian,6,oas,0.5538974361497201,2.2816191400883365e-06,1.1466549942003061
ar1_gaussian,6,pca4,0.55155389775264,2.144975473041573e-06,1.1066910888391068
ar1_gaussian,6,structured_q0,0.5527909293899615,2.140657089289086e-06,1.0370461266036257
ar1_gaussian,6,residual_qr_50,0.5530213734938044,2.1630806595648235e-06,1.0780288385188632
ar1_gaussian,7,sample,0.3655464135509349,1.5962207824432996e-06,0.9279620473979188
ar1_gaussian,7,ledoit_wolf,0.36567572417863253,1.567815547385668e-06,0.8444720126035267
ar1_gaussian,7,oas,0.3656951887827177,1.5662855502743781e-06,0.8398027770925051
ar1_gaussian,7,pca4,0.364620953138324,1.400646519090616e-06,0.7447061188944041
