family,comparison,folds,mean_delta,ci_low,ci_high,p_value,holm_p
multiasset,barclays_17,12,-0.17404309749719862,-0.23450502034553053,-0.11925478736163521,0.000488162069807176,0.000488162069807176
multiasset,equities_150,21,-0.12285800629584316,-0.14897707418421538,-0.09754058057931121,4.9999750001249995e-06,9.999950000249999e-06
multihorizon,equities_150_h1,21,-0.12285800629584316,-0.14852314826859933,-0.09673481602266852,4.9999750001249995e-06,9.999950000249999e-06
multihorizon,equities_150_h5,20,-0.1085609255986548,-0.13997680572299143,-0.07770569154711464,9.999950000249999e-06,9.999950000249999e-06
state_interaction,equities_150,21,-0.009006490911988737,-0.014778712125832774,-0.0042798605618147335,0.00016999915000424998,0.00016999915000424998
