proxy_noise,break_strength,true_s_f,proxy_s_f,gap
0.0,0.0,0.050085233358922815,0.050085233358922815,0.0
0.0,0.2,0.050081041680607376,0.15399148043336724,0.10391043875275988
0.0,0.4,0.049973036981717,0.31474462813216597,0.26477159115044896
0.0,0.6000000000000001,0.04996365107962459,0.43229227094708916,0.3823286198674646
0.0,0.8,0.049884857432584244,0.5031297823698571,0.4532449249372728
0.0,1.0,0.04995994825813395,0.5661668854122539,0.5162069371541199
0.1,0.0,0.050069425711544956,0.05761601721116184,0.007546591499616881
0.1,0.2,0.050140755119020705,0.16763609015703226,0.11749533503801156
0.1,0.4,0.05002640106890857,0.3276142691347498,0.27758786806584124
0.1,0.6000000000000001,0.05006281414096494,0.434944962134587,0.3848821479936221
0.1,0.8,0.05025482749673252,0.5078517660940977,0.45759693859736517
0.1,1.0,0.04970769431983539,0.557865008872631,0.5081573145527957
0.3,0.0,0.049910556755653555,0.16168085085752779,0.11177029410187422
0.3,0.2,0.050048241115472764,0.24843113975078063,0.19838289863530786
0.3,0.4,0.05023101255572697,0.36145770553685536,0.31122669298112837
0.3,0.6000000000000001,0.04989881349145786,0.4418023507842337,0.3919035372927758
0.3,0.8,0.04998520985076655,0.5064227149219612,0.4564375050711947
0.3,1.0,0.04980154632978922,0.5544405306980065,0.5046389843682173
