fold_id,training_days,training_start,training_end,test_start,test_end,panel_a_fold_id,selected_count,selected_drivers,method,chosen_alpha,portfolio_constraint,predicted_variance,realized_variance,realized_annualized_volatility,realized_to_predicted_ratio,qlike,gross_exposure,max_abs_weight,turnover,initial_formation,eigen_floor_activated,net_mean_return_5bps,net_annualized_volatility_5bps,rebalance_cost_5bps,net_mean_return_10bps,net_annualized_volatility_10bps,rebalance_cost_10bps,net_mean_return_20bps,net_annualized_volatility_20bps,rebalance_cost_20bps
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,equal_weight,,unconstrained,0.0002092288892601327,0.00026057313126998956,0.2562507152771234,1.2453974792459035,-7.226684262084008,1.0000000000000002,0.006666666666666667,1.0000000000000002,True,False,0.0015776398935726554,0.25625071527712345,0.0,0.0015776398935726554,0.25625071527712345,0.0,0.0015776398935726554,0.25625071527712345,0.0
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,sample_covariance,,unconstrained,1.0101820099773534e-05,0.00011573535655384014,0.17077854037193232,11.456881572899396,-0.04591336955478731,7.281459210521952,0.23251221676252723,7.281459210521952,True,False,0.0011109571868077026,0.17077854037193232,0.0,0.0011109571868077026,0.17077854037193232,0.0,0.0011109571868077026,0.17077854037193232,0.0
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,ridge_10pct,,unconstrained,2.078969832476314e-05,4.528741484023782e-05,0.10682896863557155,2.178358441415902,-8.602694525377133,3.7516388840224217,0.10829362989912387,3.7516388840224217,True,False,0.0006212403449423546,0.10682896863557156,0.0,0.0006212403449423546,0.10682896863557156,0.0,0.0006212403449423546,0.10682896863557156,0.0
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,ledoit_wolf,,unconstrained,1.6543132735380542e-05,5.817247316618317e-05,0.1210762703335305,3.516412163082667,-7.49312731963054,4.681460246016656,0.14382904426572302,4.681460246016656,True,False,0.0007946290964548677,0.12107627033353051,0.0,0.0007946290964548677,0.12107627033353051,0.0,0.0007946290964548677,0.12107627033353051,0.0
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,oas_shrinkage,,unconstrained,1.3757487533461612e-05,7.304194279954207e-05,0.1356708133147458,5.309250153553547,-5.884677180622427,5.50136871841411,0.17520100561274876,5.50136871841411,True,False,0.0009254363849793728,0.1356708133147458,0.0,0.0009254363849793728,0.1356708133147458,0.0,0.0009254363849793728,0.1356708133147458,0.0
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,nonlinear_shrinkage_qis,,unconstrained,2.168220544743407e-05,4.0874267897001e-05,0.1014904700454395,1.8851526887380439,-8.853865970548485,3.2242652203279194,0.08637124851545441,3.2242652203279194,True,False,0.00045571359607219026,0.1014904700454395,0.0,0.00045571359607219026,0.1014904700454395,0.0,0.00045571359607219026,0.1014904700454395,0.0
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,pca_matched,,unconstrained,1.0400787404457387e-05,5.7870225717048994e-05,0.12076132195656168,5.564023517320235,-5.909605525395662,2.683591701916793,0.08648787766512504,2.683591701916793,True,False,0.00022770357203887343,0.1207613219565617,0.0,0.00022770357203887343,0.1207613219565617,0.0,0.00022770357203887343,0.1207613219565617,0.0
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,pca_plus_two,,unconstrained,1.251264421861303e-05,6.591345461573654e-05,0.12888052825452576,5.267747844831054,-6.021023042595226,2.9084995212721827,0.10307889971565064,2.9084995212721827,True,False,1.1521910857942086e-05,0.12888052825452576,0.0,1.1521910857942086e-05,0.12888052825452576,0.0,1.1521910857942086e-05,0.12888052825452576,0.0
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,poet_soft_c0_5,,unconstrained,1.4993820630461976e-05,4.585703166317974e-05,0.10749870687185635,3.0583953745595016,-8.04947702514976,2.827442514247525,0.10330167243952355,2.827442514247525,True,False,0.00040755336102182534,0.10749870687185635,0.0,0.00040755336102182534,0.10749870687185635,0.0,0.00040755336102182534,0.10749870687185635,0.0
1,252,2010-07-02T00:00:00,2011-09-20T00:00:00,2011-09-21T00:00:00,2012-03-21T00:00:00,14,3,Cboe Volatility Index | S&P/BMV IPC | EUR-SEK X-RATE,structured_q0,,unconstrained,1.21695596001488e-05,5.810207828748952e-05,0.12100299057646204,4.774378054467895,-6.542194784485427,2.5175417753426483,0.10068470131963062,2.5175417753426483,True,False,4.52073070811005e-05,0.12100299057646204,0.0,4.52073070811005e-05,0.12100299057646204,0.0,4.52073070811005e-05,0.12100299057646204,0.0
