training_days,method,folds,pooled_annualized_volatility,median_fold_annualized_volatility,median_realized_to_predicted_ratio,mean_qlike,median_gross_exposure,median_max_abs_weight,mean_recurring_turnover,eigen_floor_activation_fraction,median_chosen_alpha
252,equal_weight,23,0.1865706053566079,0.14075980474012648,0.9587882848301887,-7.678111491093574,1.0000000000000002,0.006666666666666667,0.12938215037906103,0.0,
252,ledoit_wolf,23,0.1459546184870859,0.11501138453424942,2.9163927588063667,-5.922267411972207,4.009220969683793,0.10754456332581552,3.695673953475865,0.0,
252,nonlinear_shrinkage_qis,23,0.14049872533093272,0.10513091826845519,1.928006926673047,-6.829491542290672,3.0257252513432373,0.08211066322800918,2.664879486371798,0.0,
252,oas_shrinkage,23,0.15063406115113706,0.12205584850964851,3.4762852504613533,-5.281299812506999,4.364578826078429,0.12692411652402127,4.428616252720759,0.0,
252,pca_matched,23,0.16386500350004626,0.1295657080951726,6.860938751959606,-0.8872542987346514,2.479542479405403,0.08400993723733166,1.9314753601894075,0.0,
252,pca_plus_two,23,0.15910262925424495,0.12071923862442267,3.6361271426807305,-3.500796707403132,2.7464665561758768,0.09520175191692005,2.1334216510458726,0.0,
252,poet_soft_c0_5,23,0.135846340921626,0.10686256008826338,2.605276302125698,-6.371760243806925,2.7902125856343654,0.09454374191780798,2.2649343010564063,0.0,
252,residual_aware_qr,23,0.13799224276626743,0.10397683340165925,2.475168136478612,-6.307736965982158,2.5732938674052113,0.09603285218296688,2.116427753810591,0.0,0.5
252,ridge_10pct,23,0.14253273221175725,0.10873078064746952,2.138119682125665,-6.366622879318625,3.488712833033928,0.09837710301378175,3.103551275806701,0.0,
252,sample_covariance,23,0.1748848913584397,0.1389996036490294,8.134559334572877,-0.022249719993799905,6.922880376985017,0.21383526043641649,8.13817268385178,0.0,
252,structured_q0,23,0.1501720653381349,0.12294770182488444,5.869209794545312,-1.9287895117147384,2.0958399884852916,0.07791432345531436,1.1463543015139823,0.0,
504,equal_weight,21,0.18474148389024292,0.1396096984415932,0.702705921585504,-7.683900681021845,1.0000000000000002,0.006666666666666667,0.1302692963346312,0.0,
504,ledoit_wolf,21,0.14084592525876974,0.10720992778922558,2.0595800355406126,-7.1847082621141665,3.9134043250894854,0.1242869563278115,2.433190341636421,0.0,
504,nonlinear_shrinkage_qis,21,0.1393603432534755,0.10573744190109492,1.879516452608978,-7.483530272489865,3.184814771472939,0.09563069971664563,1.9817026519705614,0.0,
504,oas_shrinkage,21,0.14328043630233805,0.10738167789629702,2.3433659052733797,-7.010409056188962,4.1299477848278165,0.131759915385302,2.779311835792483,0.0,
504,pca_matched,21,0.16684759110387218,0.12956026100200996,5.471540897740417,-1.236453858995217,2.6558020539475704,0.0841716386215017,1.3763671274130922,0.0,
504,pca_plus_two,21,0.15889734689362667,0.11722503278439236,3.262495626905716,-5.741306941638135,2.9768405241208864,0.10852294841216925,1.6171852687522084,0.0,
504,poet_soft_c0_5,21,0.13723099130212355,0.10897598258290424,2.484826667353652,-7.12074206824891,2.835886934635787,0.10160080092044245,1.5747767579324152,0.0,
504,residual_aware_qr,21,0.14062037263410535,0.10545289886003939,2.0627296237549264,-6.915755986147699,2.6102938919411534,0.0986950159591915,1.687376414658844,0.0,0.5
504,ridge_10pct,21,0.1384495813267526,0.10447852632736129,1.7619198982320634,-7.471102148108258,3.171594276926738,0.10093265893837432,1.8908850904558476,0.0,
504,sample_covariance,21,0.1469039380546997,0.11635050499250771,2.5883619988072617,-6.602329753715157,4.712519854604128,0.1651777843559185,3.3298163206395506,0.0,
504,structured_q0,21,0.16023396900337575,0.1239150470158225,6.195088658596857,-1.4892225492875402,2.2468529192621234,0.07472221204539689,0.7788514093546269,0.0,
