training_days,fold_id,date,method,gross_return
252,1,2011-09-29,equal_weight,0.008251110122565082
252,1,2011-09-30,equal_weight,-0.028430403723965988
252,1,2011-10-03,equal_weight,-0.04068124456396158
252,1,2011-10-04,equal_weight,0.035628634727883496
252,1,2011-10-05,equal_weight,0.019556769062685355
252,1,2011-10-06,equal_weight,0.022926976989798398
252,1,2011-10-07,equal_weight,-0.01436793107708883
252,1,2011-10-10,equal_weight,0.038690163247355504
252,1,2011-10-11,equal_weight,0.00014575881854294608
252,1,2011-10-12,equal_weight,0.013489957282894137
252,1,2011-10-13,equal_weight,-0.004581333967978869
252,1,2011-10-14,equal_weight,0.01695191474233172
252,1,2011-10-17,equal_weight,-0.02573754936550641
252,1,2011-10-18,equal_weight,0.026119595550523154
252,1,2011-10-19,equal_weight,-0.016096971377629943
252,1,2011-10-20,equal_weight,0.006673620963788317
252,1,2011-10-21,equal_weight,0.02446063672685085
252,1,2011-10-24,equal_weight,0.025454687604456638
252,1,2011-10-25,equal_weight,-0.021346815903031443
252,1,2011-10-26,equal_weight,0.009095715479305632
252,1,2011-10-27,equal_weight,0.03916952087901014
252,1,2011-10-28,equal_weight,0.005566811783854649
252,1,2011-10-31,equal_weight,-0.02402753524496764
252,1,2011-11-01,equal_weight,-0.03006630978429022
252,1,2011-11-02,equal_weight,0.017020860532443158
252,1,2011-11-03,equal_weight,0.018447745829319108
252,1,2011-11-04,equal_weight,-0.0031071529128013932
252,1,2011-11-07,equal_weight,0.0037752703661013964
252,1,2011-11-08,equal_weight,0.010765589411277657
252,1,2011-11-09,equal_weight,-0.04025946929506244
252,1,2011-11-10,equal_weight,0.009158620152483482
252,1,2011-11-11,equal_weight,0.022215331813866507
252,1,2011-11-14,equal_weight,-0.010293798924283485
252,1,2011-11-15,equal_weight,0.004928277933412017
252,1,2011-11-16,equal_weight,-0.01823432006481617
252,1,2011-11-17,equal_weight,-0.01825990618659721
252,1,2011-11-18,equal_weight,-0.0006998028121193352
252,1,2011-11-21,equal_weight,-0.019429309448230587
252,1,2011-11-22,equal_weight,-0.0057386884851581554
252,1,2011-11-23,equal_weight,-0.024280338379563792
252,1,2011-11-25,equal_weight,-0.0028468571116162158
252,1,2011-11-28,equal_weight,0.032376726702485065
252,1,2011-11-29,equal_weight,0.0018301949628019515
252,1,2011-11-30,equal_weight,0.04781977351681558
252,1,2011-12-01,equal_weight,-0.001744114889580238
252,1,2011-12-02,equal_weight,0.0016892093162099667
252,1,2011-12-05,equal_weight,0.011913760576593832
252,1,2011-12-06,equal_weight,-0.001175356317890822
252,1,2011-12-07,equal_weight,0.0010209089612361966
252,1,2011-12-08,equal_weight,-0.025378138980089972
252,1,2011-12-09,equal_weight,0.020615192716688383
252,1,2011-12-12,equal_weight,-0.017254474055194518
252,1,2011-12-13,equal_weight,-0.015606384982873133
252,1,2011-12-14,equal_weight,-0.011476040473653219
